,artist_names,track_name,source,key,mode,time_signature,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo,duration_ms,weeks_on_chart,streams
0,"ZAYN, PARTYNEXTDOOR",Still Got Time (feat. PARTYNEXTDOOR),RCA Records Label,G,Major,4 beats,0.748,0.627,0.0639,0.131,0.0,0.0852,0.524,-6.029,120.963,188491,17,107527761
1,Alessia Cara,Growing Pains,Def Jam Recordings,C#/Db,Minor,4 beats,0.353,0.755,0.733,0.0822,0.0,0.39,0.437,-6.276,191.153,193680,2,9944865
2,The Killers,Mr. Brightside,Island Records,C#/Db,Major,4 beats,0.352,0.911,0.0747,0.00121,0.0,0.0995,0.236,-5.23,148.033,222973,125,512388123
3,"Cardi B, Chance the Rapper",Best Life (feat. Chance The Rapper),Atlantic/KSR,A,Major,4 beats,0.62,0.625,0.553,0.287,0.0,0.314,0.665,-7.438,167.911,284856,2,11985346
4,"Post Malone, The Weeknd",One Right Now (with The Weeknd),Republic Records,C#/Db,Major,4 beats,0.687,0.781,0.053,0.0361,0.0,0.0755,0.688,-4.806,97.014,193507,30,301860377
5,"Thalia, NATTI NATASHA",No Me Acuerdo,Sony Music Latin,G,Minor,4 beats,0.836,0.799,0.0873,0.187,0.0,0.092,0.772,-4.247,94.033,217653,16,98123727
6,"Kygo, Donna Summer",Hot Stuff,RCA Records Label,F,Major,4 beats,0.681,0.773,0.148,0.019,1.28e-06,0.11,0.429,-5.749,119.961,199008,1,4569978
7,"Tropa do Bruxo, DJ Ws da Igrejinha, SMU, Triz, Mc Menor Thalis",Baile do Bruxo,Tropa Do Bruxo,G,Minor,5 beats,0.734,0.228,0.53,0.889,0.00642,0.102,0.522,-4.731,162.524,221538,3,27916960
8,YBN Nahmir,Bounce Out With That,2018,G#/Ab,Major,4 beats,0.857,0.56,0.173,0.0426,0.0,0.153,0.482,-8.278,94.949,91011,6,4913180
9,Brent Faiyaz,LOOSE CHANGE,"Lost Kids LLC., Marketed by Venice / Stem",C#/Db,Minor,4 beats,0.574,0.369,0.0814,0.753,0.0,0.147,0.44,-8.931,84.975,226011,1,5854629
10,"Chance the Rapper, MadeinTYO, DaBaby",Hot Shower,Chance the Rapper,A,Major,4 beats,0.899,0.509,0.387,0.00157,0.0,0.0573,0.599,-8.04,150.001,225924,4,22273873
11,"Jax Jones, RAYE",You Don't Know Me (feat. RAYE),Polydor Records,B,Minor,4 beats,0.876,0.669,0.138,0.163,0.0,0.185,0.682,-6.054,124.007,213947,36,256587576
12,"KZA Produções, wonda",Maria Mariah,wonda & oclody,B,Minor,4 beats,0.648,0.873,0.334,0.194,5.13e-06,0.291,0.776,-0.56,130.003,118154,2,19220630
13,Zach Bryan,East Side of Sorrow,Warner Records,A#/Bb,Major,4 beats,0.408,0.607,0.0391,0.236,8.02e-05,0.0972,0.169,-7.463,144.136,209320,1,10150926
14,Dua Lipa,Break My Heart,Warner Records,E,Minor,4 beats,0.73,0.729,0.0884,0.167,1.39e-06,0.349,0.467,-3.434,113.011,221820,65,678936475
15,"ScHoolboy Q, Travis Scott",CHopstix (feat. Travis Scott),Top Dawg Entertainment/Interscope Records,A,Minor,4 beats,0.958,0.6,0.118,0.0391,0.0,0.274,0.607,-6.996,127.933,181153,2,11037789
16,"Taylor Swift, Phoebe Bridgers",Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Taylor Swift,C,Major,4 beats,0.606,0.377,0.0275,0.817,0.0,0.154,0.446,-9.455,101.96,258813,2,22729805
17,Lil Tecca,Did It Again,Republic Records,C#/Db,Major,4 beats,0.699,0.575,0.159,0.218,0.0,0.112,0.234,-9.922,148.767,116240,2,10628742
18,XXXTENTACION,NUMB,"Bad Vibes Forever, LLC",B,Minor,4 beats,0.414,0.416,0.0251,0.1,0.179,0.131,0.196,-8.024,159.91,186268,10,58613459
19,BTS,Paradise,BIGHIT MUSIC,F,Major,4 beats,0.519,0.828,0.365,0.214,0.0,0.0571,0.929,-5.523,139.413,211224,1,5560683
20,sangiovanni,malibu,Universal Music Italia srL. (Sugar),G,Minor,4 beats,0.733,0.736,0.111,0.028,0.0,0.131,0.669,-5.123,147.897,166216,8,52348105
21,Olly Alexander (Years & Years),If You're Over Me,Polydor Records,G#/Ab,Major,4 beats,0.647,0.853,0.0904,0.0615,0.0,0.062,0.618,-4.516,103.846,189000,5,22679910
22,"Bad Bunny, Luar La L",TELEFONO NUEVO,Rimas Entertainment LLC,D,Major,4 beats,0.619,0.619,0.491,0.407,0.0,0.0932,0.393,-6.238,125.752,354784,2,31249185
23,"Jung Kook, Jack Harlow",3D (feat. Jack Harlow),BIGHIT MUSIC,C#/Db,Major,4 beats,0.853,0.824,0.103,0.0322,0.0,0.0859,0.888,-3.287,108.044,201812,24,412798895
24,Sam Smith,One Last Song,Capitol,C#/Db,Major,3 beats,0.672,0.53,0.0284,0.367,0.0,0.321,0.485,-6.43,103.326,192922,2,11063179
25,RIN,UP IN SMOKE,GOLD LEAGUE/DIVISION,E,Minor,4 beats,0.791,0.663,0.153,0.235,2.13e-05,0.117,0.314,-5.655,77.494,174600,1,5126611
26,Twenty One Pilots,Morph,Fueled By Ramen,G#/Ab,Minor,4 beats,0.734,0.607,0.0806,0.0747,0.000577,0.0968,0.518,-7.249,90.023,258853,2,12618211
27,Mac Miller,Come Back to Earth,Warner Records,D,Minor,4 beats,0.272,0.238,0.0349,0.89,0.00925,0.275,0.119,-12.148,83.507,161840,1,5713873
28,"Marracash, thasup, Sfera Ebbasta",SUPREME - L'ego,Universal Music Italia srL.,A,Major,4 beats,0.656,0.661,0.0602,0.0686,0.0,0.125,0.509,-5.888,140.956,223045,2,10401867
29,"Future, Lil Uzi Vert",All Bad (feat. Lil Uzi Vert),Epic/Freebandz,F#/Gb,Minor,4 beats,0.931,0.667,0.318,0.0144,0.0,0.15,0.667,-7.043,142.039,207739,1,6194224
30,Band Aid,Do They Know It's Christmas? - 1984 Version,EMI,C,Major,4 beats,0.599,0.642,0.0363,0.164,3.33e-05,0.0992,0.349,-6.936,115.412,222533,26,245198355
31,Katy Perry,Cozy Little Christmas,Capitol Records,G,Major,4 beats,0.774,0.608,0.128,0.128,0.0,0.0895,0.56,-6.264,137.494,182521,2,12910536
32,"Iggy Azalea, Anitta",Switch,Def Jam Recordings,B,Minor,4 beats,0.914,0.624,0.0531,0.00348,0.00389,0.395,0.346,-6.112,109.977,189600,1,3934056
33,Glass Animals,Heat Waves,Polydor Records,B,Major,4 beats,0.761,0.525,0.0944,0.44,6.7e-06,0.0921,0.531,-6.9,80.87,238805,120,2265473708
34,Lil Baby,Woah,Quality Control/Motown Records,B,Major,4 beats,0.883,0.599,0.248,0.0177,0.0,0.179,0.413,-5.551,142.976,183011,21,31573174
35,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,Aftermath Entertainment/Atlantic,F,Major,4 beats,0.586,0.616,0.0324,0.182,0.0,0.0927,0.719,-7.964,148.088,242096,63,63112934
36,Calum Scott,Dancing On My Own,Capitol Records (US1A),C#/Db,Major,4 beats,0.608,0.174,0.0332,0.851,1.92e-05,0.0855,0.193,-8.796,112.175,260004,9,31768840
37,"R3HAB, A Touch Of Class",All Around The World (La La La),Virgin,A,Minor,4 beats,0.733,0.859,0.033,0.479,0.0645,0.105,0.52,-5.03,124.948,147840,15,104395994
38,Feid,Si Te La Encuentras Por Ahí,UMLE - Latino,G#/Ab,Minor,4 beats,0.743,0.576,0.076,0.151,5.87e-05,0.128,0.455,-3.552,171.945,191573,5,39023638
39,"Internet Money, Gunna, Don Toliver, NAV",Lemonade (feat. NAV),Internet Money Records / TenThousand Projects,C#/Db,Minor,4 beats,0.799,0.66,0.079,0.256,0.0,0.111,0.471,-6.153,140.04,195429,2,19804278
40,NewJeans,Cool With You,ADOR,F,Minor,4 beats,0.752,0.65,0.12,0.653,0.00136,0.105,0.532,-6.683,134.993,147880,3,34474786
41,"Beyoncé, BEAM",ENERGY (feat. Beam),Parkwood Entertainment/Columbia,C#/Db,Major,4 beats,0.903,0.519,0.26,0.281,0.000106,0.155,0.587,-9.151,114.991,116727,2,18328362
42,"Capital Bra, Samra",100k Cash,Bra Musik,A#/Bb,Major,4 beats,0.701,0.714,0.524,0.289,0.0,0.0883,0.604,-5.906,86.91,173353,1,5192813
43,Sabrina Carpenter,Skin,Island Records,G,Major,4 beats,0.557,0.457,0.0335,0.428,0.0,0.0567,0.328,-5.372,105.918,177500,5,37080517
44,"Bizarrap, Nicky Jam","Nicky Jam: Bzrp Music Sessions, Vol. 41",DALE PLAY Records,C#/Db,Minor,4 beats,0.627,0.849,0.153,0.0913,0.0,0.145,0.818,-3.167,89.907,158087,8,80154473
45,"Camila Cabello, Myke Towers, Tainy",Oh Na Na,Epic,C,Major,4 beats,0.744,0.862,0.0622,0.0715,5.58e-06,0.0889,0.688,-3.446,115.021,203653,1,5412180
46,Coldplay,Orphans,Parlophone UK,B,Minor,4 beats,0.503,0.808,0.0451,0.0258,0.00149,0.557,0.282,-5.051,107.973,197533,6,12415244
47,"XXXTENTACION, PnB Rock, Trippie Redd",bad vibes forever (feat. PnB Rock & Trippie Redd),Bad Vibes Forever / EMPIRE,G#/Ab,Major,4 beats,0.8,0.526,0.0716,0.334,0.00174,0.0571,0.746,-5.153,129.874,150475,2,7148151
48,Morgan Wallen,Everything I Love,Big Loud Records / Mercury Records / Republic Records,G#/Ab,Major,4 beats,0.568,0.841,0.0261,0.00514,0.000503,0.147,0.668,-3.802,103.983,187047,1,9920740
49,"Lana Del Rey, A$AP Rocky",Groupie Love (feat. A$AP Rocky),Polydor Records,A,Major,4 beats,0.359,0.6,0.0398,0.113,1.32e-06,0.0952,0.195,-7.317,175.894,264038,1,3685086
50,"BTS, Nicki Minaj",IDOL,BIGHIT MUSIC,A,Major,4 beats,0.709,0.857,0.0881,0.00219,0.0,0.103,0.446,-3.394,126.038,260234,4,22192073
51,Harry Styles,Treat People With Kindness,Columbia,F,Major,4 beats,0.653,0.869,0.0382,0.128,2.2e-05,0.046,0.697,-3.725,122.017,197347,1,7800929
52,Drake,Drew A Picasso,OVO/Republic,G,Major,4 beats,0.707,0.334,0.244,0.375,0.0,0.17,0.143,-12.792,127.944,262769,1,12574912
53,Shawn Mendes,When You're Ready,Island Records,F,Major,4 beats,0.49,0.473,0.129,0.792,0.0,0.113,0.603,-8.887,171.535,169587,1,4203767
54,Lana Del Rey,Say Yes To Heaven,Polydor Records,F#/Gb,Minor,4 beats,0.497,0.359,0.0259,0.749,0.0923,0.117,0.179,-11.532,99.922,209156,3,16404321
55,Tom Walker,Just You and I,Relentless Records,A,Major,4 beats,0.567,0.696,0.301,0.456,0.0,0.113,0.544,-5.416,92.061,174983,10,59898803
56,"Soso Maness, PLK",Petrouchka (feat. PLK),RCA Group,F#/Gb,Major,4 beats,0.624,0.802,0.311,0.0597,0.0,0.252,0.818,-4.818,133.888,189933,3,17931439
57,Billie Eilish,Your Power,Darkroom/Interscope Records,A,Minor,4 beats,0.632,0.284,0.0801,0.932,0.000476,0.233,0.208,-14.025,129.642,245897,12,14423902
58,"DVBBS, CMC$, Gia Koka",Not Going Home (feat. Gia Koka),"Ultra Records, LLC",F#/Gb,Major,4 beats,0.713,0.733,0.152,0.0933,2.23e-05,0.237,0.502,-6.431,108.992,196307,9,34951697
59,The xx,I Dare You,Young,C#/Db,Major,4 beats,0.752,0.543,0.0398,0.623,0.0706,0.107,0.282,-9.483,126.001,233280,1,2692337
60,Taylor Swift,Out Of The Woods (Taylor's Version),Taylor Swift,C,Major,4 beats,0.547,0.885,0.0418,0.000512,9.37e-05,0.39,0.192,-5.961,91.992,235800,2,38569517
61,Miley Cyrus,River,Columbia,A,Major,4 beats,0.613,0.803,0.0367,0.000525,0.000333,0.189,0.461,-5.171,127.989,162973,4,49327260
62,"Hearts & Colors, Andrelli",Lighthouse - Andrelli Remix,Firefly Entertainment,B,Minor,4 beats,0.595,0.662,0.0362,0.0178,0.0,0.0804,0.417,-6.858,96.053,218447,10,46223688
63,"¥$, Kanye West, Ty Dolla $ign",BURN,Ye,B,Minor,4 beats,0.6,0.885,0.393,0.0157,6.02e-06,0.856,0.736,-6.21,105.003,111458,5,76343158
64,"Martin Garrix, Bebe Rexha",In the Name of Love,Epic Amsterdam,E,Minor,4 beats,0.49,0.485,0.0406,0.0592,0.0,0.337,0.196,-6.237,133.889,195840,38,235182404
65,"French Montana, Drake",No Stylist (feat. Drake),Epic,F,Minor,4 beats,0.765,0.704,0.127,0.0215,0.0,0.227,0.498,-4.589,147.055,192172,25,188011040
66,Taylor Swift,Enchanted,"Big Machine Records, LLC",G#/Ab,Major,4 beats,0.535,0.618,0.0273,0.0716,0.000388,0.169,0.228,-3.913,81.975,352200,11,74227985
67,Travis Scott,GOD'S COUNTRY,Cactus Jack/Epic,D,Major,4 beats,0.624,0.65,0.0358,0.0229,1.21e-05,0.145,0.138,-5.819,150.048,127992,2,28806766
68,Bebe Rexha,I'm a Mess,Warner Records,B,Minor,4 beats,0.63,0.694,0.0253,0.00281,0.0,0.0719,0.216,-6.257,97.005,195519,35,210746577
69,Piso 21,Puntos Suspensivos,WM Mexico,B,Minor,4 beats,0.823,0.731,0.103,0.175,0.0,0.131,0.952,-3.399,152.024,186316,3,13544517
70,TINI,Cupido,5020 Records,A,Major,4 beats,0.913,0.584,0.223,0.521,5.36e-05,0.307,0.627,-5.263,119.873,174370,16,173894630
71,Billie Eilish,Bored,Darkroom,G,Major,4 beats,0.614,0.318,0.0478,0.896,0.00239,0.0795,0.112,-12.695,119.959,180933,23,154478480
72,"Marília Mendonça, Maiara & Maraisa",Todo Mundo Menos Você,Som Livre,G,Major,4 beats,0.778,0.641,0.0449,0.753,0.0,0.104,0.434,-5.258,131.914,206171,7,44855983
73,"Piso 21, Micro TDH",Te Vi,WM Mexico,C#/Db,Major,4 beats,0.877,0.777,0.117,0.0446,3.46e-05,0.0863,0.706,-4.246,102.02,231848,27,209890194
74,Eminem,Framed,Aftermath,G,Major,4 beats,0.744,0.821,0.161,0.0113,0.0,0.259,0.762,-3.009,145.982,252960,1,5151530
75,"The Chainsmokers, Bebe Rexha",Call You Mine,Disruptor Records/Columbia,G,Major,4 beats,0.591,0.702,0.0289,0.225,0.0,0.414,0.501,-5.59,104.003,217653,11,133013992
76,Taylor Swift,Begin Again (Taylor's Version),Taylor Swift,G,Major,4 beats,0.519,0.527,0.0274,0.075,0.0,0.132,0.267,-7.673,78.915,238867,1,9744763
77,Drake,Free Smoke,Cash Money Records/Young Money Ent./Universal Rec.,A#/Bb,Minor,4 beats,0.736,0.491,0.439,0.0681,0.0,0.571,0.203,-6.892,141.979,218674,7,52659150
78,"Peso Pluma, Anitta",BELLAKEO,Double P Records,A,Major,4 beats,0.72,0.88,0.101,0.0562,0.06,0.153,0.463,-2.834,180.011,197333,14,248139959
79,DaBaby,INTRO,South Coast Music Group/Interscope Records,C,Minor,4 beats,0.862,0.685,0.242,0.0342,0.0,0.204,0.672,-7.699,100.024,172800,1,7056413
80,Queen,Thank God It's Christmas - Non-Album Single,EMI,G,Major,5 beats,0.296,0.421,0.0285,0.214,0.0,0.232,0.335,-8.891,83.425,261627,1,4345690
81,"Chris Brown, USHER, Gucci Mane",Party (feat. Usher & Gucci Mane),RCA Records Label,C#/Db,Minor,4 beats,0.762,0.576,0.0829,0.0556,0.0,0.0869,0.316,-4.951,142.096,220813,5,14265873
82,"Maite Perroni, Cali Y El Dandee",Loca (feat. Cali y El Dandee),WM Mexico,A,Major,4 beats,0.751,0.839,0.054,0.11,0.0,0.0865,0.639,-3.367,95.019,234366,5,15404365
83,"Drake, Fivio Foreign, Sosa Geek",Demons (feat. Fivio Foreign & Sosa Geek),OVO,C,Minor,3 beats,0.543,0.766,0.343,0.423,0.0,0.155,0.729,-3.387,106.869,204805,2,14702818
84,"Nio Garcia, J Balvin, Bad Bunny",AM Remix,Flow La Movie,F#/Gb,Minor,4 beats,0.743,0.655,0.159,0.114,0.0,0.0764,0.785,-5.015,172.031,261335,36,371254425
85,XXXTENTACION,Orlando,Bad Vibes Forever / EMPIRE,C#/Db,Major,4 beats,0.57,0.0279,0.0588,0.859,0.0892,0.254,0.28,-22.282,84.902,163840,1,4648148
86,"Charli XCX, Troye Sivan",1999,Atlantic Records UK,G,Major,4 beats,0.739,0.742,0.0329,0.0227,1.39e-06,0.229,0.659,-4.586,124.016,189000,7,37581668
87,Post Malone,Saint-Tropez,Republic Records,C,Major,4 beats,0.617,0.684,0.0439,0.0545,0.0,0.104,0.295,-3.618,132.113,150867,13,130271583
88,"Lil Wayne, Reginae Carter",Famous (feat. Reginae Carter),"Young Money Records, Inc.",A,Major,4 beats,0.623,0.568,0.144,0.0302,0.0,0.25,0.115,-5.664,149.852,242050,1,9005862
